origin_country,Total,Currently economically active,Employed,Unemployed,Currently not economically active,Not stated
Total,63182180,32442335,30008635,2433705,30739840,0
Belgium,27110,14240,13330,910,12870,0
Bulgaria,48260,36275,33770,2505,11980,0
Czechia,38705,26265,24285,1980,12440,0
Denmark,23235,12345,11615,730,10890,0
Germany,299745,188945,176430,12515,110805,0
Estonia,8710,6080,5570,515,2630,0
Ireland,468185,216410,204150,12260,251770,0
Greece,36935,21935,19855,2080,15000,0
Spain,84820,52475,48535,3940,32345,0
France,139420,90405,84990,5415,49015,0
Italy,141205,82535,77535,5005,58670,0
Cyprus,78900,37065,34505,2560,41835,0
Latvia,61440,44235,41215,3020,17205,0
Lithuania,108710,81645,76340,5300,27065,0
Luxembourg,1945,940,855,85,1005,0
Hungary,52250,38795,36895,1900,13455,0
Malta,29545,18235,17350,885,11310,0
Netherlands,63715,30195,28085,2110,33515,0
Austria,20185,8365,7930,440,11820,0
Poland,654010,488070,464825,23245,165940,0
Portugal,92065,59130,53290,5840,32935,0
Romania,83170,60420,55610,4815,22745,0
Slovenia,2140,1265,1185,85,875,0
Slovakia,63055,47330,44475,2855,15725,0
Finland,13325,7900,7415,485,5425,0
Sweden,32610,18820,17615,1205,13790,0
United Kingdom,0,0,0,0,0,0
Outside EU but elsewhere within Europe,223645,128815,116345,12475,94830,0
Albania,13665,9075,7900,1180,4590,0
Andorra,60,40,35,0,20,0
Belarus,4405,2940,2660,285,1465,0
Croatia,8400,5360,4880,480,3045,0
The Former Yugoslav Republic of Macedonia,2950,2140,1965,180,810,0
Gibraltar,11125,6910,6445,465,4215,0
Guernsey ,7520,3840,3590,245,3680,0
Iceland,2070,1235,1135,100,835,0
Isle of Man,9850,4995,4655,345,4855,0
Jersey,11035,5885,5525,360,5150,0
Kosovo (UN SCR 1244/99),28705,15140,12390,2755,13565,0
Liechtenstein,30,20,20,0,10,0
Moldova,3180,2120,1890,230,1060,0
Monaco,400,190,170,20,210,0
Montenegro,1045,615,550,65,430,0
Norway,16965,7890,7360,530,9075,0
Bosnia and Herzegovina,7880,4930,4425,500,2950,0
Russian Federation,39530,24360,21990,2370,15165,0
San Marino,10,10,5,0,0,0
Serbia,8380,5260,4840,420,3120,0
Switzerland,19965,10290,9785,510,9670,0
Ukraine,21785,13255,12050,1205,8530,0
Vatican City,10,5,5,0,5,0
Faroe Islands,400,155,140,10,245,0
Other european countries,4280,2155,1940,215,2125,0
Algeria,24955,16200,13815,2390,8755,0
Angola,14620,8895,6605,2290,5720,0
Benin,630,455,355,100,175,0
Botswana,3270,1845,1615,230,1425,0
Burkina Faso,220,165,135,30,55,0
Burundi,4485,2830,2070,760,1655,0
Cameroon,10245,7115,5770,1345,3130,0
Cape Verde,1190,710,570,140,480,0
Central African Republic,160,110,90,20,50,0
Chad,345,205,145,55,145,0
Comoros,110,70,60,5,40,0
Congo,8895,4570,2955,1615,4325,0
Côte d’Ivoire,7940,5315,4155,1160,2625,0
Democratic Republic of the Congo,19510,10245,6765,3480,9265,0
Djibouti,455,230,155,75,225,0
Egypt,31340,15470,14095,1370,15870,0
Equatorial Guinea,290,195,155,40,95,0
Eritrea,17705,10005,7170,2835,7700,0
Ethiopia,15495,9605,7535,2070,5890,0
Gabon,370,245,195,50,120,0
Gambia,11345,7855,6450,1405,3490,0
Ghana,95665,70600,62910,7690,25065,0
Guinea,2355,1445,1015,430,910,0
Guinea-Bissau,2395,1685,1330,355,710,0
Kenya,140535,95870,89070,6800,44665,0
Lesotho,795,525,475,55,265,0
Liberia,3575,2665,2125,535,915,0
Libya,16450,6900,6010,890,9550,0
Madagascar,1045,650,575,75,395,0
Malawi,16625,11095,10175,920,5530,0
Mali,385,235,180,55,145,0
Mauritania,220,120,105,15,95,0
Mauritius,41980,27115,25350,1765,14865,0
Mayotte,35,20,15,5,15,0
Morocco,21880,12755,10955,1800,9125,0
Mozambique,5925,4090,3665,425,1835,0
Namibia,2465,1830,1690,135,640,0
Niger,205,145,125,20,60,0
Nigeria,201185,136705,116465,20240,64480,0
Rwanda,4450,2860,2210,650,1590,0
Saint Helena,2715,1665,1565,100,1050,0
Sao Tome and Principe,955,660,540,120,300,0
Senegal,1990,1395,1155,235,595,0
Seychelles,3610,2150,1975,170,1460,0
Sierra Leone,23520,16550,13975,2575,6970,0
Somalia,103050,43375,27370,16000,59675,0
South Africa,203475,148745,140765,7980,54730,0
Sudan,18380,10455,7790,2665,7925,0
Swaziland,1485,1085,970,115,400,0
Togo,1625,1160,950,210,465,0
Tunisia,6150,4275,3720,550,1875,0
Uganda,60885,42230,38390,3835,18655,0
Tanzania,35995,23565,21810,1755,12430,0
Zambia,28745,21970,20195,1775,6775,0
Zimbabwe,123670,85700,75965,9735,37975,0
Other African countries,16945,11020,9990,1030,5925,0
Anguilla,545,210,175,35,335,0
Antigua and Barbuda,3720,1570,1380,190,2150,0
Argentina,10550,7070,6690,380,3480,0
Aruba,630,365,340,25,265,0
Bahamas,1930,1360,1285,75,565,0
Barbados,18860,8640,7920,715,10220,0
Belize,1355,815,730,80,540,0
Bermuda,4285,2205,1940,265,2075,0
Bolivia,3765,2440,2230,210,1325,0
Brazil,52150,37220,34475,2745,14930,0
British Virgin Islands,275,135,120,15,140,0
Cayman Islands,850,325,270,55,525,0
Chile,7140,4190,3810,380,2945,0
Colombia,25760,17855,16170,1685,7910,0
Costa Rica,725,450,405,45,275,0
Cuba,2480,1655,1445,210,825,0
Dominica,6375,3015,2675,340,3365,0
Dominican Republic,1385,920,795,125,460,0
Ecuador,8765,5875,5320,555,2895,0
El Salvador,885,625,570,55,260,0
Falkland Islands (Malvinas),905,475,445,30,425,0
French Southern Territories,15,5,5,0,10,0
Grenada,9315,4770,4315,455,4545,0
Guatemala,975,400,365,35,575,0
Guyana,21825,11370,10325,1050,10450,0
Haiti,320,230,200,30,90,0
Honduras,640,410,350,60,230,0
Jamaica,160775,84265,72575,11690,76510,0
Mexico,9770,6140,5650,495,3630,0
Montserrat,7285,3550,2825,725,3735,0
Netherlands Antilles,970,640,555,85,330,0
Nicaragua,380,260,235,25,120,0
Panama,715,415,380,35,305,0
Paraguay,760,430,400,30,330,0
Peru,7245,4960,4475,485,2285,0
Saint Barthelemy,0,0,0,0,0,0
Saint Kitts and Nevis,5645,2700,2430,265,2950,0
Saint Lucia,9150,4700,4095,600,4455,0
Saint Martin,125,60,45,15,70,0
Saint Pierre and Miquelon,0,0,0,0,0,0
Saint Vincent and the Grenadines,7450,4040,3620,420,3415,0
Suriname,445,305,265,45,140,0
Trinidad and Tobago,23595,14295,13245,1050,9305,0
Turks and Caicos Islands,105,50,40,10,55,0
Uruguay,1370,940,870,75,430,0
Venezuela,9150,6385,5885,500,2765,0
"Other Caribbean, Central and South American countries",5350,2225,1995,230,3125,0
Canada,80390,51950,49275,2675,28435,0
Greenland,55,35,35,0,20,0
United States of America,197355,110825,104095,6730,86530,0
Other Northern American countries,325,170,150,15,155,0
Afghanistan,63495,28660,23475,5185,34835,0
Armenia,1665,940,765,170,730,0
Azerbaijan,2910,1400,1165,230,1510,0
Bahrain,5825,3375,3135,245,2450,0
Bangladesh,214090,110355,94190,16165,103735,0
Bhutan,430,315,255,60,115,0
Brunei,5335,1920,1745,175,3410,0
Cambodia,1215,690,635,55,525,0
China,284070,137035,124120,12915,147035,0
Georgia,3155,1775,1515,260,1380,0
India,722435,426320,394320,32005,296110,0
Indonesia,9625,5055,4600,450,4570,0
Iraq,75295,38440,30900,7540,36855,0
Iran,84735,48930,40960,7970,35805,0
Israel,18240,9810,9220,590,8435,0
Japan,37330,19885,18850,1035,17445,0
Jordan,5880,2690,2345,345,3190,0
Kazakhstan,5055,2235,1920,315,2820,0
North Korea,390,160,125,40,230,0
South Korea,17395,7530,7000,530,9865,0
Kuwait,13075,5805,4915,890,7270,0
Kyrgyzstan,1055,635,560,75,420,0
Laos,670,405,370,35,260,0
Lebanon,15935,9475,8515,960,6460,0
Malaysia,69940,41135,38800,2335,28805,0
Maldives,375,160,145,15,215,0
Mongolia,1695,920,765,155,775,0
Myanmar,12155,5920,5315,605,6235,0
Nepal,50880,34040,30815,3220,16845,0
Oman,3195,815,725,90,2375,0
Pakistan,502795,242220,212325,29895,260575,0
Philippines,129835,95150,91170,3980,34685,0
Qatar,2520,885,770,110,1635,0
Saudi Arabia,33630,7200,6045,1155,26425,0
Singapore,42190,28110,26695,1415,14080,0
Sri Lanka,129075,82320,75595,6725,46755,0
Syria,9260,5000,4250,750,4260,0
Taiwan; Province of China,10700,4845,4355,490,5860,0
Tajikistan,425,235,210,30,190,0
Thailand,44085,23690,21345,2345,20395,0
Timor-Leste,1870,1395,1225,175,475,0
Turkey,93915,52640,46775,5865,41280,0
Turkmenistan,730,410,355,60,320,0
United Arab Emirates,11455,4775,4145,630,6680,0
Uzbekistan,2665,1655,1455,195,1015,0
Vietnam,30170,17270,15240,2030,12900,0
Yemen,18055,8255,6900,1360,9795,0
Other Asian countries,19610,9715,8205,1510,9895,0
Australia,126315,93300,89500,3800,33020,0
Federated States of Micronesia,10,10,5,0,5,0
Fiji,6285,3830,3530,300,2455,0
French Polynesia,80,45,35,5,35,0
Kiribati,170,100,95,5,70,0
Marshall Islands,10,5,5,0,5,0
Nauru,30,25,20,0,5,0
New Caledonia,115,75,70,5,40,0
New Zealand,62585,49375,47665,1710,13210,0
Palau,10,5,5,0,5,0
Papua New Guinea,1120,850,780,70,270,0
Samoa,220,170,165,5,50,0
Solomon Islands,340,260,235,25,85,0
Tonga,280,185,165,20,95,0
Tuvalu,10,5,5,0,5,0
Pitcairn,0,0,0,0,0,0
Vanuatu,160,120,115,5,35,0
Wallis and Futuna Islands,5,5,5,0,5,0
Other Oceanian countries,490,270,255,15,220,0
Czechoslovakia (optional),1370,570,555,20,795,0
Soviet Union (optional),2190,1600,1450,150,590,0
Yugoslavia (optional),4230,2250,2010,240,1975,0
Other entity (optional),0,0,0,0,0,0
